code|i94port_raw|i94port_state|i94port_bps|i94port_city
LIM|LIMESTONE, ME|ME|unknown|LIMESTONE
LUB|LUBEC, ME|ME|unknown|LUBEC
MAD|MADAWASKA, ME|ME|unknown|MADAWASKA
POM|PORTLAND, ME|ME|unknown|PORTLAND
RGM|RANGELEY, ME (BPS)|ME|(BPS)|RANGELEY
SBR|SOUTH BREWER, ME|ME|unknown|SOUTH BREWER
SRL|ST AURELIE, ME|ME|unknown|ST AURELIE
SPA|ST PAMPHILE, ME|ME|unknown|ST PAMPHILE
VNB|VAN BUREN, ME|ME|unknown|VAN BUREN
VCB|VANCEBORO, ME|ME|unknown|VANCEBORO
AGN|ALGONAC, MI|MI|unknown|ALGONAC
ALP|ALPENA, MI|MI|unknown|ALPENA
BCY|BAY CITY, MI|MI|unknown|BAY CITY
DET|DETROIT, MI|MI|unknown|DETROIT
GRP|GRAND RAPIDS, MI|MI|unknown|GRAND RAPIDS
GRO|GROSSE ILE, MI|MI|unknown|GROSSE ILE
ISL|ISLE ROYALE, MI|MI|unknown|ISLE ROYALE
MRC|MARINE CITY, MI|MI|unknown|MARINE CITY
MRY|MARYSVILLE, MI|MI|unknown|MARYSVILLE
PTK|OAKLAND COUNTY - PONTIAC, MI|MI|unknown|OAKLAND COUNTY - PONTIAC
PHU|PORT HURON, MI|MI|unknown|PORT HURON
RBT|ROBERTS LANDING, MI|MI|unknown|ROBERTS LANDING
SAG|SAGINAW, MI|MI|unknown|SAGINAW
SSM|SAULT STE. MARIE, MI|MI|unknown|SAULT STE. MARIE
SCL|ST CLAIR, MI|MI|unknown|ST CLAIR
YIP|WILLOW RUN - YPSILANTI, MI|MI|unknown|WILLOW RUN - YPSILANTI
BAU|BAUDETTE, MN|MN|unknown|BAUDETTE
CAR|CARIBOU MUNICIPAL AIRPORT, ME|ME|unknown|CARIBOU MUNICIPAL AIRPORT
GTF|Collapsed into INT, MN|MN|unknown|Collapsed into INT
INL|Collapsed into INT, MN|MN|unknown|Collapsed into INT
CRA|CRANE LAKE, MN|MN|unknown|CRANE LAKE
MIC|CRYSTAL AIRPORT, MN|MN|unknown|CRYSTAL AIRPORT
DUL|DULUTH, MN|MN|unknown|DULUTH
ELY|ELY, MN|MN|unknown|ELY
GPM|GRAND PORTAGE, MN|MN|unknown|GRAND PORTAGE
SVC|GRANT COUNTY - SILVER CITY, NM|NM|unknown|GRANT COUNTY - SILVER CITY
INT|INT''L FALLS, MN|MN|unknown|INT''L FALLS
LAN|LANCASTER, MN|MN|unknown|LANCASTER
MSP|MINN./ST PAUL, MN|MN|unknown|MINN./ST PAUL
LIN|NORTHERN SVC CENTER, MN|MN|unknown|NORTHERN SVC CENTER
NOY|NOYES, MN|MN|unknown|NOYES
PIN|PINECREEK, MN|MN|unknown|PINECREEK
48Y|PINECREEK BORDER ARPT, MN|MN|unknown|PINECREEK BORDER ARPT
RAN|RANIER, MN|MN|unknown|RANIER
RST|ROCHESTER, MN|MN|unknown|ROCHESTER
ROS|ROSEAU, MN|MN|unknown|ROSEAU
SPM|ST PAUL, MN|MN|unknown|ST PAUL
WSB|WARROAD INTL, SPB, MN|MN|unknown|WARROAD INTL, SPB
WAR|WARROAD, MN|MN|unknown|WARROAD
KAN|KANSAS CITY, MO|MO|unknown|KANSAS CITY
SGF|SPRINGFIELD-BRANSON, MO|MO|unknown|SPRINGFIELD-BRANSON
STL|ST LOUIS, MO|MO|unknown|ST LOUIS
WHI|WHITETAIL, MT|MT|unknown|WHITETAIL
WHM|WILD HORSE, MT|MT|unknown|WILD HORSE
GPT|BILOXI REGIONAL, MS|MS|unknown|BILOXI REGIONAL
GTR|GOLDEN TRIANGLE LOWNDES CNTY, MS|MS|unknown|GOLDEN TRIANGLE LOWNDES CNTY
GUL|GULFPORT, MS|MS|unknown|GULFPORT
PAS|PASCAGOULA, MS|MS|unknown|PASCAGOULA
JAN|THOMPSON FIELD - JACKSON, MS|MS|unknown|THOMPSON FIELD - JACKSON
BIL|BILLINGS, MT|MT|unknown|BILLINGS
BTM|BUTTE, MT|MT|unknown|BUTTE
CHF|CHIEF MT, MT|MT|unknown|CHIEF MT
CTB|CUT BANK MUNICIPAL, MT|MT|unknown|CUT BANK MUNICIPAL
CUT|CUT BANK, MT|MT|unknown|CUT BANK
DLB|DEL BONITA, MT|MT|unknown|DEL BONITA
EUR|EUREKA, MT (BPS)|MT|(BPS)|EUREKA
BZN|GALLATIN FIELD - BOZEMAN, MT|MT|unknown|GALLATIN FIELD - BOZEMAN
FCA|GLACIER NATIONAL PARK, MT|MT|unknown|GLACIER NATIONAL PARK
GGW|GLASGOW, MT|MT|unknown|GLASGOW
GRE|GREAT FALLS, MT|MT|unknown|GREAT FALLS
HVR|HAVRE, MT|MT|unknown|HAVRE
HEL|HELENA, MT|MT|unknown|HELENA
LWT|LEWISTOWN, MT|MT|unknown|LEWISTOWN
MGM|MORGAN, MT|MT|unknown|MORGAN
OPH|OPHEIM, MT|MT|unknown|OPHEIM
PIE|PIEGAN, MT|MT|unknown|PIEGAN
RAY|RAYMOND, MT|MT|unknown|RAYMOND
ROO|ROOSVILLE, MT|MT|unknown|ROOSVILLE
SCO|SCOBEY, MT|MT|unknown|SCOBEY
SWE|SWEET GRASS, MT|MT|unknown|SWEET GRASS
TRL|TRAILCREEK, MT|MT|unknown|TRAILCREEK
TUR|TURNER, MT|MT|unknown|TURNER
WCM|WILLOW CREEK, MT|MT|unknown|WILLOW CREEK
CLT|CHARLOTTE, NC|NC|unknown|CHARLOTTE
FAY|FAYETTEVILLE, NC|NC|unknown|FAYETTEVILLE
MRH|MOREHEAD CITY, NC|NC|unknown|MOREHEAD CITY
